1104 0.875 0.250 1.000 0.000 0.875 1.000 0.875 0.875 0.875 0.250
1127 0.786 0.000 0.429 0.357 1.000 0.071 0.357 0.071 0.429 0.071
1352 0.778 1.000 0.000 0.222 0.444 0.556 0.556 0.111 0.333 0.333
1364 0.952 0.905 1.000 0.619 0.571 0.429 0.048 0.095 0.143 0.000
1367 0.952 1.000 0.524 0.000 0.286 0.238 0.286 0.143 0.190 0.190
1456 1.000 0.357 0.571 0.357 0.500 0.214 0.643 0.000 0.357 0.429
1556 1.000 1.000 1.000 0.700 1.000 0.000 0.900 0.700 0.500 0.600
1650 1.000 0.889 0.222 0.778 0.000 0.556 0.556 0.889 0.556 0.556
1687 0.000 0.111 0.778 1.000 0.333 0.889 0.778 0.333 0.111 0.333
1688 0.125 0.625 0.000 1.000 1.000 0.125 0.500 0.250 0.250 0.250
1702 0.714 0.143 0.571 0.000 1.000 0.429 0.286 0.714 0.429 0.286
1705 0.609 1.000 0.957 0.696 0.696 0.348 0.174 0.043 0.000 0.087
1756 1.000 0.800 0.250 0.100 0.000 0.050 0.100 0.050 0.250 0.300
1780 1.000 0.722 0.889 0.722 0.833 0.833 0.444 0.278 0.278 0.000
1783 1.000 1.000 0.909 0.864 0.727 0.591 0.591 0.000 0.000 0.136
1784 0.500 1.000 0.600 0.000 0.700 0.200 0.800 0.200 0.800 0.300
1821 1.000 0.400 0.700 0.300 0.300 0.000 0.600 0.100 0.900 0.100
1830 1.000 0.222 0.000 0.444 0.333 0.000 0.222 0.000 0.333 0.556
1894 0.500 0.500 0.250 0.000 0.500 0.000 0.500 1.000 1.000 1.000
1935 0.333 0.333 0.417 0.667 0.417 1.000 0.333 0.167 0.000 0.500
1996 0.647 0.118 0.471 0.176 0.471 0.588 1.000 0.412 0.412 0.000
2046 1.000 0.667 0.810 0.810 0.714 0.476 0.476 0.000 0.476 0.286
2058 1.000 0.400 0.667 0.533 0.333 0.000 0.533 0.133 0.467 0.467
2062 0.000 1.000 0.714 1.000 0.286 0.714 0.000 0.286 0.286 0.000
2063 1.000 0.933 0.467 0.667 0.533 0.533 0.133 0.333 0.333 0.000
2124 0.533 0.733 0.400 1.000 0.533 0.800 0.267 0.333 0.000 0.133
2133 0.000 0.667 0.500 1.000 0.167 0.833 0.667 0.667 0.333 0.500
2138 1.000 0.067 0.400 0.000 0.400 0.067 0.067 0.067 0.067 0.067
2156 0.769 0.846 1.000 0.615 0.385 0.077 0.231 0.385 0.308 0.000
2210 1.000 0.500 0.750 0.500 0.375 0.125 0.250 0.000 0.375 0.750
2218 1.000 0.000 0.857 0.214 0.643 0.571 0.643 0.643 0.857 1.000
2219 1.000 0.800 0.400 0.240 0.240 0.240 0.280 0.000 0.080 0.200
2290 0.900 0.500 1.000 0.800 0.900 0.000 0.100 0.600 0.600 0.600
2291 1.000 0.278 0.333 0.000 0.111 0.444 0.111 0.167 0.167 0.111
2397 1.000 0.600 0.000 0.600 0.500 0.200 0.400 0.200 0.200 0.200
2399 0.909 0.500 0.818 0.591 0.909 0.727 0.864 1.000 0.227 0.000
2400 1.000 0.765 0.882 0.471 0.824 0.647 0.706 0.647 0.000 0.176
2420 0.667 0.000 1.000 0.583 0.750 0.667 0.917 0.667 0.667 0.583
2551 1.000 0.680 0.760 0.400 0.640 0.840 0.360 0.280 0.000 0.120
2587 0.500 1.000 0.833 0.167 0.500 0.000 0.167 0.250 0.250 0.250
2666 1.000 0.444 0.333 0.037 0.148 0.074 0.000 0.259 0.259 0.259
2674 1.000 0.765 0.941 0.706 0.000 0.941 0.941 0.941 0.941 0.941
2739 1.000 0.905 0.762 0.762 0.714 0.619 0.476 0.667 0.238 0.000
