1025,10.11,39.45
1054,0.30,49.11
1103,1.95,44.85
1104,6.71,37.73
1109,0.10,35
1127,6.37,44.94
1139,6.76,27.91
1163,1.71,42.67
1168,0.09,39.94
1172,1.19,45.56
1173,1.25,44.56
1211,1.87,40
1212,0.41,43
1213,0.36,43
1217,0.13,46
1224,0.59,50
1263,0.51,42
1271,0.13,37
1275,4.16,44
1276,0.43,42
1281,0.41,37
1352,0.61,49
1364,6.38,44
1367,0.98,41
1431,6.27,37
1456,8.14,44
1464,0.41,41
1556,8.64,39
1618,1.75,42
1650,0.19,44
1658,1.73,43
1670,0.72,45
1687,4.44,41
1688,5.04,44
1702,0.36,43
1705,3.55,45
1756,2.17,43
1780,11.19,40
1783,5.81,39
1784,6.41,44
1821,13.40,43
1830,3.99,43
1894,3.19,45
1935,1.21,47
1944,0.49,45
1956,0.70,38
1969,3.17,42
1994,5.57,41
1996,3.52,43
2046,7.30,38
2058,0.95,44
2062,0.94,44
2063,3.87,42
2124,6.15,39
2133,0.20,42
2138,8.32,48
2145,10.95,30
2156,5.31,41
2210,0.38,43
2218,9.16,35
2219,1.85,42
2290,5.74,46
2291,6.07,40
2292,1.75,47
2366,0.43,44
2369,0.18,40
2371,0.79,35
2387,2.65,36
2397,1.36,51
2399,4.06,30
2400,7.23,31
2401,0.16,43
2420,2.35,40
2551,4.80,36
2587,6.80,40
2664,0.11,38
2665,0.35,37
2666,2.53,41
2667,3.44,40
2674,2.19,43
2739,10.56,31
2760,3.07,44
2782,7.90,47
2836,0.34,44
2847,1.25,44
2919,11.01,41
2921,1.04,47
2924,4.44,36
2951,1.79,47
2964,0.82,45
2968,4.33,42
2969,1.18,40
3018,2.67,42
302,2.70,36
3031,7.32,38
3085,3.02,42.56
3111,4.21,40
3114,5.57,41
3204,3.57,47
3216,6.13,40
3219,4.56,35
3221,3.85,45
3294,0.18,0
3315,7.68,42
3382,3.40,42
3389,1.52,46
3390,0.83,43
3399,4.90,38
3461,5.72,43
3490,7.34,40
3528,0.76,50
3531,0.38,38
3558,0.35,40
3561,1.82,42
3570,1.25,46
3583,4.28,38
3675,3.63,41
3682,0.20,38
3689,0.68,45
3694,4.11,44
3706,4.45,46
3768,8.81,37
3769,1.01,40
3776,0.25,43
3787,0.78,40
3853,3.71,42
3864,6.45,38
3867,2.90,46
3946,4.82,42
3960,3.97,41
3971,3.38,46
3972,1.40,50
3974,4.85,43
3976,2.13,46
4063,8.10,45
4086,5.72,47
4092,0.30,46
4139,10.33,41
417,1.05,0
4177,1.39,51
4185,2.08,44
4201,5.20,42
4204,3.20,49
4289,7.77,42
4290,1.65,37
4292,0.26,46
4299,9.82,46
4303,9.72,43
4315,2.50,43
4323,0.11,39
436,0.96,39.17
4404,4.76,40
4406,5.89,38
4408,10.59,46
4409,1.28,44
4412,1.01,38
4420,1.96,44
4425,3.52,43
4434,0.48,47
4496,0.95,42
4497,1.93,47
4500,0.59,47
4503,5.07,44
452,10.55,37.77
4530,0.33,37
458,10.03,44.75
4600,5.20,42
4601,13.40,43
4602,6.39,40
4604,11.70,42
461,0.55,40.61
4628,0.28,47
463,0.79,48.59
468,2.88,46.3
4696,2.09,43
4701,0.79,48
4704,2.84,40
4706,2.35,41
472,3.10,37.25
473,0.44,35.97
4744,2.10,42
4754,1.10,43
4756,0.65,41
4781,2.52,46
4817,0.85,45
4818,3.08,37
483,12.64,38.45
4831,3.02,48
4913,4.17,40
4914,1.71,39
4916,1.96,40
494,2.33,49.72
4989,2.54,45
501,1.77,38.96
5010,0.40,41
5018,1.74,46
503,3.08,46.14
504,0.45,46.3
5040,8.55,46
5105,0.10,39
5110,1.51,41
5126,1.57,43
5132,0.10,37
5137,5.58,48
5157,1.17,47
5201,1.64,40
5238,6.39,44
526,3.13,40.95
5261,3.50,38
5266,2.58,42
5311,0.29,45
5317,0.15,38
534,3.67,47.51
5342,0.60,45
5346,1.68,44
536,2.48,43.26
5368,0.69,42
5371,1.79,44
5372,6.16,38
5379,6.01,39
5383,7.83,45
5389,2.13,39
5439,0.84,44
544,0.68,42.62
5449,0.16,40
5450,0.15,42
5452,0.53,41
5463,3.88,40
548,1.38,38.9
5548,0.67,43
5564,2.53,43
5565,1.38,38
5569,6.19,41
5578,10.62,41
559,0.14,41.49
562,11.48,41.43
5660,1.48,40
5667,11.02,47
5668,0.39,46
5671,5.91,41
569,0.50,46.28
574,0.39,42.07
5764,0.13,39
5774,4.67,43
5778,0.74,46
5782,0.15,44
5783,6.83,41
5785,0.67,50
5786,5.36,41
580,3.87,29.89
588,10.33,46.26
5943,0.58,38
5954,1.00,41
5958,8.52,42
6018,0.09,41
6050,1.08,45
6076,9.06,42
6084,1.68,43
609,4.08,37.83
6095,3.62,39
6100,4.21,42
614,1.13,37.42
615,3.95,48.82
6163,0.30,47
617,0.65,44.11
619,4.73,44.93
6214,0.88,47
6218,3.05,46
622,0.13,40.81
6229,5.65,46
624,7.04,43.85
6270,0.27,43
6287,1.67,40
6299,6.53,47
6301,5.68,38
6309,0.21,46
6310,1.07,42
6351,6.85,35
637,5.17,41.66
6378,1.17,42
6394,0.11,46
6415,1.26,48
646,1.52,49.7
648,5.90,46.93
6490,1.19,42
6506,1.63,42
6507,4.18,43
6518,1.13,41
6533,9.97,43
6563,0.63,33
6605,3.39,40
6628,2.11,32
665,10.29,38
667,0.41,44.34
6682,1.25,44
669,3.45,45.21
6699,4.81,45
6796,0.90,49
6832,0.19,43
705,6.39,39.55
723,11.90,43.34
734,4.30,40.06
739,0.19,35.5
748,0.85,37.6
758,0.25,41.1
768,4.62,39.04
773,0.10,43.46
774,0.40,40.52
787,7.69,40.43
796,2.83,44.15
801,1.32,45.04
809,3.26,39.4
817,9.50,44.56
861,6.71,44.44
871,4.06,40.54
874,2.49,45.53
877,5.25,44.87
884,1.58,43.11
890,4.17,32.49
926,1.61,50.61
935,3.85,41.13
990,4.67,39.86
993,2.48,37.47
995,1.71,42.12
10058,7.18,39.03
10064,0.72,0
10139,0.97,44.67
10152,8.71,47.2
10156,4.12,44.36
10159,4.16,41.59
10210,2.13,38.74
10229,4.24,43.03
10237,0.19,42.3
10242,0.15,41.8
10244,0.93,40.24
10250,2.01,44.78
10305,3.77,50.41
10312,1.38,43.78
10313,2.52,39.33
10316,0.19,41.22
10317,3.24,34.68
10321,7.08,40.58
10324,2.25,48.23
10326,2.67,44.99
10333,7.93,39.22
10375,3.88,43.22
10377,1.93,35.38
10382,0.23,46.52
10388,4.61,47.64
10405,6.46,40.44
10433,1.74,44
10434,3.80,4.49E+01
10439,2.36,46.1
10445,3.12,49.93
10477,3.05,47.1
10510,7.53,40.66
10522,4.53,44.94
10567,4.96,37.31
10583,6.27,41.1
10601,0.16,40.2
10606,0.48,39.65
10670,5.21,40
10672,5.09,49.1
10681,2.09,40
10684,0.21,42
10717,3.91,46.29
10792,6.17,0
10802,6.43,0
10804,3.27,0
10805,0.51,0
10812,3.15,0
10813,2.66,0
10815,2.48,0
10816,9.52,0
10817,3.22,0
10819,0.76,0
10822,6.19,0
10880,0.61,46.6
10899,12.74,41
10904,1.47,43
10987,4.80,42.61
10992,0.84,44.2
10994,3.23,43.4
10996,0.63,47.78
11001,0.37,47.78
11010,0.67,35.9
11012,3.13,47.8
11021,2.50,43.2
11083,3.36,41.78
11087,0.34,42.8
11094,0.23,37.4
11099,1.09,43.42
11103,2.24,47.86
11105,1.62,38.5
11162,0.62,38.6
11189,0.16,36.27
11204,1.73,40.21
11248,0.97,40.62
11348,0.82,44.08
11350,7.77,47
5653,0.15,38
6186,0.48,40
6305,0.89,38
6618,5.64,39
6685,6.10,45
6707,3.15,40
6743,7.30,40
6804,1.62,43
6895,1.77,35
6919,2.90,36
6922,0.25,43
6974,3.11,44
6975,1.58,42
6982,0.66,47
6990,0.21,41
7076,5.07,41
7130,1.12,43
7134,1.06,46
7142,3.21,45
7169,11.28,42
7175,0.53,42
7176,3.27,43
7180,6.59,39
7186,5.22,45
7212,0.11,40
7225,0.16,45
7240,2.16,45
7272,1.50,40
7281,7.12,38
7285,3.34,42
7288,4.46,45
7297,0.41,48
7306,2.99,42
7307,0.79,49
7367,2.45,41
7371,1.78,47
7376,0.29,45
7378,5.62,40
7389,0.86,41
7422,3.16,41
7461,3.82,46
7463,2.56,44
7472,1.59,39
7479,1.59,36
7481,0.34,47
7554,5.42,42
7591,0.35,44
7623,4.07,41
7626,3.19,44
7627,0.16,42
7641,1.75,39
7646,3.35,45
7702,0.39,41
7710,1.02,40
7717,2.88,47
7736,0.16,43
